from Координаты игрока: X = 624.55999755859, Y = 473.11999511719, Z = 1.0599999427795 | Название карты: de_dust2 | to Координаты игрока: X = -379.20999145508, Y = 389.58999633789, Z = -4.0199999809265 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1286.0500488281, Y = 263.16000366211, Z = 23.64999961853 | Название карты: de_overpass | to Координаты игрока: X = -465.76998901367, Y = -959.89001464844, Z = 10.689999580383 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -954.03997802734, Y = -96.940002441406, Z = 11488.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -993.47998046875, Y = 145.11000061035, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1444.8299560547, Y = -330.54000854492, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -826.15002441406, Y = -202.19000244141, Z = 11488.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1185.5300292969, Y = -2500.419921875, Z = -170.91000366211 | Название карты: de_mirage | to Координаты игрока: X = 570.59997558594, Y = -1714.25, Z = -260.08999633789 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1423.7900390625, Y = 407.33999633789, Z = -167.9700012207 | Название карты: de_mirage | to Координаты игрока: X = -2065.0500488281, Y = -515.22998046875, Z = -167.9700012207 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -587.96997070313, Y = -148.10000610352, Z = 16.790000915527 | Название карты: de_overpass | to Координаты игрока: X = -1021.4799804688, Y = -494.23999023438, Z = 100.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1293.3699951172, Y = -279.39001464844, Z = 202.69000244141 | Название карты: de_overpass | to Координаты игрока: X = -1308.5200195313, Y = -868.34997558594, Z = 12.810000419617 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1445.6099853516, Y = -504.35998535156, Z = 8.3999996185303 | Название карты: de_overpass | to Координаты игрока: X = -1580.2900390625, Y = 204.80999755859, Z = 64.819999694824 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -632.27001953125, Y = -799.38000488281, Z = -263.9700012207 | Название карты: de_mirage | to Координаты игрока: X = 684.67999267578, Y = -1625.9899902344, Z = -262.5299987793 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1336.7900390625, Y = -714.92999267578, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -828.35998535156, Y = -611.46002197266, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = 2569.7600097656, Y = 1177.8699951172, Z = 158.07000732422 | Название карты: de_inferno | to Координаты игрока: X = 1406.6400146484, Y = 919.41998291016, Z = 150.16999816895 | Название карты: de_inferno | Оружия: ssg08, awp
from Координаты игрока: X = 308.83999633789, Y = 1683.5899658203, Z = 46.549999237061 | Название карты: de_dust2 | to Координаты игрока: X = -173.00999450684, Y = 2135.1298828125, Z = -126.55000305176 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = -174.83000183105, Y = -1010.0800170898, Z = 29.059999465942 | Название карты: de_overpass | to Координаты игрока: X = -1224.8100585938, Y = -79.690002441406, Z = 198.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
